chunk_id,start_line,end_line,incident_id,incident_type,root_cause,confidence_score,recommended_action,target_system,execution_status,verification_status,final_status
1,1,25,INC-CHUNK-001,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,SUCCESS,PASS,RESOLVED
2,26,50,INC-CHUNK-002,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,SUCCESS,PASS,RESOLVED
3,51,75,INC-CHUNK-003,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,SUCCESS,PASS,RESOLVED
4,76,100,INC-CHUNK-004,General HDFS Incident,"General error, failure, exception, block, or replication issue detected",0.9,run_health_check,hdfs-cluster,SUCCESS,PASS,RESOLVED
5,101,125,INC-CHUNK-005,General HDFS Incident,"General error, failure, exception, block, or replication issue detected",0.67,run_health_check,hdfs-cluster,SUCCESS,FAIL,UNRESOLVED
6,126,150,INC-CHUNK-006,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,SUCCESS,PASS,RESOLVED
7,151,175,INC-CHUNK-007,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,SUCCESS,PASS,RESOLVED
8,176,200,INC-CHUNK-008,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,SUCCESS,PASS,RESOLVED
9,201,225,INC-CHUNK-009,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,SUCCESS,PASS,RESOLVED
10,226,250,INC-CHUNK-010,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,PENDING,PENDING,PENDING
11,251,275,INC-CHUNK-011,HDFS DataNode Incident,"DataNode communication, heartbeat, connection, or timeout failure detected",0.67,restart_service,hdfs-datanode,SUCCESS,PASS,RESOLVED
12,276,300,INC-CHUNK-012,General HDFS Incident,"General error, failure, exception, block, or replication issue detected",0.71,run_health_check,hdfs-cluster,SUCCESS,PASS,RESOLVED
